"Step","20251220-2025-12-06-train-celeba-jem-1 - train_CD_loss","20251220-2025-12-06-train-celeba-jem-1 - train_CD_loss__MIN","20251220-2025-12-06-train-celeba-jem-1 - train_CD_loss__MAX"
"0","-0.07081937789916992","-0.07081937789916992","-0.07081937789916992"
"1","-0.3016633987426758","-0.3016633987426758","-0.3016633987426758"
"2","-0.15021944046020508","-0.15021944046020508","-0.15021944046020508"
"3","0.45719242095947266","0.45719242095947266","0.45719242095947266"
"4","0.8186163902282715","0.8186163902282715","0.8186163902282715"
"5","0.2504706382751465","0.2504706382751465","0.2504706382751465"
"6","0.1669626235961914","0.1669626235961914","0.1669626235961914"
"7","-0.08802270889282227","-0.08802270889282227","-0.08802270889282227"
"8","0.1038665771484375","0.1038665771484375","0.1038665771484375"
"9","0.10611534118652344","0.10611534118652344","0.10611534118652344"
"10","0.9942831993103027","0.9942831993103027","0.9942831993103027"
"12","-0.3328671455383301","-0.3328671455383301","-0.3328671455383301"
"13","-0.2829627990722656","-0.2829627990722656","-0.2829627990722656"
"14","-0.2945127487182617","-0.2945127487182617","-0.2945127487182617"
"15","0.5752077102661133","0.5752077102661133","0.5752077102661133"
"16","0.6555929183959961","0.6555929183959961","0.6555929183959961"
"17","0.8456764221191406","0.8456764221191406","0.8456764221191406"
"18","0.1504383087158203","0.1504383087158203","0.1504383087158203"
"19","0.10542964935302734","0.10542964935302734","0.10542964935302734"
"20","-0.07399749755859375","-0.07399749755859375","-0.07399749755859375"
"21","0.9969921112060547","0.9969921112060547","0.9969921112060547"
"22","0.0067596435546875","0.0067596435546875","0.0067596435546875"
"23","1.366767406463623","1.366767406463623","1.366767406463623"
"25","-0.11690902709960938","-0.11690902709960938","-0.11690902709960938"
"26","0.5221023559570312","0.5221023559570312","0.5221023559570312"
"27","0.37963390350341797","0.37963390350341797","0.37963390350341797"
"28","-0.2305278778076172","-0.2305278778076172","-0.2305278778076172"
"29","0.1772441864013672","0.1772441864013672","0.1772441864013672"
"30","0.1622934341430664","0.1622934341430664","0.1622934341430664"
"31","0.5783600807189941","0.5783600807189941","0.5783600807189941"
"32","0.17009639739990234","0.17009639739990234","0.17009639739990234"
"33","-0.0929727554321289","-0.0929727554321289","-0.0929727554321289"
"34","0.9100131988525391","0.9100131988525391","0.9100131988525391"
"35","-0.06365966796875","-0.06365966796875","-0.06365966796875"
"36","-0.35082483291625977","-0.35082483291625977","-0.35082483291625977"
"38","0.5522923469543457","0.5522923469543457","0.5522923469543457"
"39","0.5130300521850586","0.5130300521850586","0.5130300521850586"
"40","0.9818320274353027","0.9818320274353027","0.9818320274353027"
"41","0.6073641777038574","0.6073641777038574","0.6073641777038574"
"42","-0.06813955307006836","-0.06813955307006836","-0.06813955307006836"
"43","-0.08127403259277344","-0.08127403259277344","-0.08127403259277344"
"44","0.19443130493164062","0.19443130493164062","0.19443130493164062"
"45","0.9595036506652832","0.9595036506652832","0.9595036506652832"
"46","0.7760610580444336","0.7760610580444336","0.7760610580444336"
"47","0.06787729263305664","0.06787729263305664","0.06787729263305664"
"48","0.023831844329833984","0.023831844329833984","0.023831844329833984"
"49","0.5162358283996582","0.5162358283996582","0.5162358283996582"
"51","0.5720067024230957","0.5720067024230957","0.5720067024230957"
"52","0.5763275623321533","0.5763275623321533","0.5763275623321533"
"53","0.19609785079956055","0.19609785079956055","0.19609785079956055"
"54","0.9274051189422607","0.9274051189422607","0.9274051189422607"
"55","0.2886772155761719","0.2886772155761719","0.2886772155761719"
"56","1.4091291427612305","1.4091291427612305","1.4091291427612305"
"57","0.515594482421875","0.515594482421875","0.515594482421875"
"58","0.14954781532287598","0.14954781532287598","0.14954781532287598"
"59","0.3838057518005371","0.3838057518005371","0.3838057518005371"
"60","0.5023484230041504","0.5023484230041504","0.5023484230041504"
"61","0.37659597396850586","0.37659597396850586","0.37659597396850586"
"62","-0.07370972633361816","-0.07370972633361816","-0.07370972633361816"
"64","0.039288997650146484","0.039288997650146484","0.039288997650146484"
"65","-0.052269697189331055","-0.052269697189331055","-0.052269697189331055"
"66","0.4116082191467285","0.4116082191467285","0.4116082191467285"
"67","0.24916481971740723","0.24916481971740723","0.24916481971740723"
"68","0.036092519760131836","0.036092519760131836","0.036092519760131836"
"69","1.270714282989502","1.270714282989502","1.270714282989502"
"70","-0.06988263130187988","-0.06988263130187988","-0.06988263130187988"
"71","0.7967984676361084","0.7967984676361084","0.7967984676361084"
"72","0.30370426177978516","0.30370426177978516","0.30370426177978516"
"73","0.1933910846710205","0.1933910846710205","0.1933910846710205"
"74","0.55841064453125","0.55841064453125","0.55841064453125"
"75","0.6418242454528809","0.6418242454528809","0.6418242454528809"
"77","1.1383404731750488","1.1383404731750488","1.1383404731750488"
"78","0.6089692115783691","0.6089692115783691","0.6089692115783691"
"79","1.1131317615509033","1.1131317615509033","1.1131317615509033"
"80","-0.16968965530395508","-0.16968965530395508","-0.16968965530395508"
"81","-0.28209352493286133","-0.28209352493286133","-0.28209352493286133"
"82","0.22872161865234375","0.22872161865234375","0.22872161865234375"
"83","0.09802484512329102","0.09802484512329102","0.09802484512329102"
"84","-0.05644392967224121","-0.05644392967224121","-0.05644392967224121"
"85","0.6425838470458984","0.6425838470458984","0.6425838470458984"
"86","-0.5341033935546875","-0.5341033935546875","-0.5341033935546875"
"87","0.15192198753356934","0.15192198753356934","0.15192198753356934"
"88","-0.04760408401489258","-0.04760408401489258","-0.04760408401489258"
"90","1.0048527717590332","1.0048527717590332","1.0048527717590332"
"91","0.0005040168762207031","0.0005040168762207031","0.0005040168762207031"
"92","0.3050808906555176","0.3050808906555176","0.3050808906555176"
"93","-0.20867681503295898","-0.20867681503295898","-0.20867681503295898"
"94","0.33043932914733887","0.33043932914733887","0.33043932914733887"
"95","0.32706284523010254","0.32706284523010254","0.32706284523010254"
"96","0.291456937789917","0.291456937789917","0.291456937789917"
"97","0.5951721668243408","0.5951721668243408","0.5951721668243408"
"98","-0.16945481300354004","-0.16945481300354004","-0.16945481300354004"
"99","0.25539636611938477","0.25539636611938477","0.25539636611938477"
"100","0.47868919372558594","0.47868919372558594","0.47868919372558594"
"101","0.551764965057373","0.551764965057373","0.551764965057373"
"103","0.24782490730285645","0.24782490730285645","0.24782490730285645"
"104","0.2627904415130615","0.2627904415130615","0.2627904415130615"
"105","0.16780400276184082","0.16780400276184082","0.16780400276184082"
"106","0.28736138343811035","0.28736138343811035","0.28736138343811035"
"107","0.14084935188293457","0.14084935188293457","0.14084935188293457"
"108","0.05366015434265137","0.05366015434265137","0.05366015434265137"
"109","0.6036198139190674","0.6036198139190674","0.6036198139190674"
"110","0.27958226203918457","0.27958226203918457","0.27958226203918457"
"111","0.970134973526001","0.970134973526001","0.970134973526001"
"112","0.6713473796844482","0.6713473796844482","0.6713473796844482"
"113","-0.47771549224853516","-0.47771549224853516","-0.47771549224853516"
"114","-0.3900461196899414","-0.3900461196899414","-0.3900461196899414"
"116","0.462632417678833","0.462632417678833","0.462632417678833"
"117","0.4692966938018799","0.4692966938018799","0.4692966938018799"
"118","0.4055609703063965","0.4055609703063965","0.4055609703063965"
"119","-0.14183878898620605","-0.14183878898620605","-0.14183878898620605"
"120","0.013778209686279297","0.013778209686279297","0.013778209686279297"
"121","0.25372934341430664","0.25372934341430664","0.25372934341430664"
"122","-127790624","-127790624","-127790624"
"123","-5156957184","-5156957184","-5156957184"
"124","-26450329600","-26450329600","-26450329600"
"125","-71648231424","-71648231424","-71648231424"
"126","-160188776448","-160188776448","-160188776448"
"127","-281582141440","-281582141440","-281582141440"
"129","-494872395776","-494872395776","-494872395776"